uid,device_id,registerdate,lastpaydate,lastlogtime
838089855105866,3683b5fe-6c5c-457f-bbf3-460c980848cf,1456374979,1465792655,1467612185
290425692111247,1088a97e-c882-4084-a39d-a3197906e7de,1456378989,,1466355373
399930178290068,,1456380475,,1459136049
806891212667739,1e852913-ed6b-442e-8c6d-312646928066,1456384134,,1466693877
418699185373604,3809d236-1ab6-46c0-97d7-95cb403b010b,1456385795,,1461148076
333031767687594,,1456388230,,1457078932
286912408863150,,1456389641,,1459317045
606032772103025,,1456393216,,1456850945
429720071455168,09cb71b9-389f-4596-9f43-7b79a45885ed,1456399618,,1459758691
714961732664220,74d17125-b47a-4e41-9c28-37fe7208975d,1456412006,,1466535137
701844902542241,b448325b-1d19-4bde-a0c1-ddd838b2dd24,1456413257,,1460202457
802647784979365,,1456413826,,1457618467
357452951732755,,1456422182,,1457018372
831810612919265,,1456427761,,1458244256
600938940890084,,1456428368,,1457504389
563985042275338,c3d13874-885c-45b1-9721-b5f230d23955,1456436106,,1460227231
638159127477292,,1456444648,,1458263088
595690490854503,c2c7ba8e-a845-4c8d-ac5b-49c5adbcf8f1,1456454312,,1468332037
584076899286121,b2128511-7890-4892-b386-9897ae02b7d9,1456454420,,1460118530
769705385819260,,1456457455,,1458649672
815652945951882,,1456459330,,1457632756
570126845508768,b44c197a-6cb6-438d-b042-83dcac628ee3,1456461670,,1462856167
492649932276482,38757767-172c-40fd-bbbd-51b1948b046b,1456469723,,1465785474
378455341810470,3bcd1a4d-efb4-422d-9ccb-339c15492c61,1456487360,,1460455615
524192172098357,,1456492329,,1457549336
656481457962247,a3c143bd-6868-470f-91d6-abc3dbfa2b42,1456495615,1467148820,1468373922
486250431005515,86015862-d165-4c0e-890c-72ce71dd71a6,1456497617,,1459812357
699860627651866,,1456501447,,1458178623
501119607784303,bb5dc01c-1903-430c-ae4f-9330d17371a0,1456505446,,1461070208
695737459047721,,1456506018,,1458682700
330025290580925,,1456520904,,1457517992
565110323707245,b12b5025-d43f-489f-bdec-619428870f81,1456521059,,1462961919
605440066616686,,1456521629,,1458338446
817147594571135,9a4d95b1-c0c7-4907-a11f-96fccd85453d,1456524712,,1467099387
534104956617685,e27fc357-cb85-4be6-994e-b8ec62aaa34b,1456525103,,1468298862
299866030228444,45ebd848-02e4-4cab-8526-0ce395d8478d,1456526169,1465949312,1467908259
405745564009439,f25dd001-7fa6-4d5c-bde7-50d2beee7657,1456526747,,1463234516
699688828960154,,1456527513,,1457221389
707995295710643,,1456531206,,1457659473
825694579490231,023a0a8d-f523-4502-9eda-59ec16ca9594,1456532420,,1464463190
368688586179593,4a4c5378-24d8-4943-b7bd-dc4f8c3edafc,1456534102,1467174614,1468290515
427503868331027,,1456535735,,1457135874
344679718994974,,1456537105,,1457201036
602459359313372,,1456541408,,1457452386
325438265508912,418db0f2-56dc-409c-b44b-4f826374fba5,1456545133,1463468605,1468359139
418828034393142,,1456546404,,1457241367
682079463046634,,1456547894,,1457188162
407145723348047,,1456551559,,1457654788
662460052438543,,1456552514,,1457638261
658139315338794,,1456556820,,1457594100
518668844156031,,1456557173,,1457200405
604744281914932,,1456557841,,1457442427
710357527723586,712bcebd-c3cd-4557-af11-2946c1c3903d,1456560696,,1462032041
698451878379113,,1456565697,,1457661744
287977560753328,eb830587-8e25-4ac8-a8e2-a81be6950624,1456566310,,1465562091
775941678333548,,1456566336,,1457859618
466167163929800,078dad0c-7ed4-460d-9259-1afce5e53108,1456574449,1462905303,1468353570
558998587065587,,1456581246,,1457134022
653526520463030,,1456583739,,1459675829
577041742855863,,1456583814,,1458432111
669254690700987,,1456584052,,1458091077
783552360382151,,1456585607,,1458001094
365398641231133,acf5d6dc-a66f-4670-8839-795e5aa325e3,1456586022,,1461613068
474095673558314,d485f0fd-8737-4528-aee1-4b1dce6cdff1,1456586891,1461729581,1465764793
771990308421335,,1456586906,,1459086556
481697765672238,72d7da80-51b5-4a69-8bd5-2b813768b92a,1456587358,,1461949671
508369512580402,3674c799-9fb5-41a2-89c2-b8cc18e00a5e,1456587465,,1467292802
660759245389536,,1456587859,,1458064633
611513150373604,,1456588100,,1457555885
440027992966465,2e286448-f33f-4174-8f94-2b56e264e893,1456588393,,1460522985
746804620197610,629bf592-e465-4d5c-b85b-051e5d50d72f,1456588479,,1461144041
528624578348358,7ed0bf34-b676-4a6c-8a78-e5c41608b567,1456588812,1463699545,1467066534
